draw_date,n1,n2,n3,n4,n5,n6,prize_4_1,prize_4_0,prize_3_1,prize_3_0
4/15/2013,8,24,32,33,35,1,93,26,11,5
4/17/2013,8,14,21,26,27,5,111,23,10,5
4/19/2013,2,7,11,14,24,2,66,18,8,3
4/22/2013,12,17,20,22,25,1,79,25,10,4
4/24/2013,3,7,22,25,30,1,86,22,11,4
4/26/2013,2,9,22,23,25,3,94,25,8,5
4/29/2013,17,20,21,27,28,1,93,25,11,5
5/1/2013,5,10,23,29,30,5,105,23,9,4
5/3/2013,8,12,19,20,33,1,191,23,10,5
5/6/2013,1,16,18,26,31,5,114,20,10,5
5/8/2013,3,18,20,22,33,2,127,35,11,5
5/10/2013,13,14,27,31,33,5,106,21,10,5
5/13/2013,3,20,21,26,31,5,251,30,10,5
5/15/2013,18,23,24,27,28,3,85,25,9,5
5/17/2013,5,7,9,19,35,2,68,24,10,4
5/20/2013,7,15,18,21,32,3,99,27,10,5
5/22/2013,2,8,19,22,23,2,63,26,10,4
5/24/2013,6,19,20,23,30,2,79,31,10,5
5/27/2013,2,6,9,10,31,2,58,24,9,4
5/29/2013,8,18,21,26,27,5,98,26,10,5
5/31/2013,6,9,27,31,34,1,99,35,11,5
6/3/2013,5,15,23,27,33,1,136,25,11,4
6/5/2013,4,7,8,16,24,1,108,18,10,4
6/7/2013,4,12,14,17,23,3,79,23,9,4
6/10/2013,1,7,8,25,34,3,127,28,10,5
6/12/2013,12,15,25,26,27,3,86,30,10,5
6/14/2013,2,7,22,29,34,4,87,27,9,5
6/17/2013,21,22,24,25,28,1,156,25,10,5
6/19/2013,6,12,14,20,26,3,84,26,9,5
6/21/2013,7,14,18,22,31,1,90,22,11,4
6/24/2013,13,19,24,28,32,5,92,31,10,5
6/26/2013,9,17,25,29,30,4,75,23,10,5
6/28/2013,1,7,8,10,26,2,79,23,9,4
7/1/2013,10,13,24,26,29,5,74,21,9,4
7/3/2013,7,11,28,30,35,4,114,27,8,4
7/5/2013,3,6,23,25,30,1,88,22,11,4
7/8/2013,4,10,16,22,29,5,121,21,9,4
7/10/2013,12,14,19,25,26,1,69,25,10,5
7/12/2013,12,13,15,26,33,1,284,40,13,5
7/15/2013,5,9,16,18,23,1,81,17,10,4
7/17/2013,4,12,20,21,23,4,254,24,9,4
7/19/2013,5,9,10,29,30,1,95,32,10,4
7/22/2013,3,16,17,19,26,1,162,28,11,5
7/24/2013,1,3,6,10,17,4,99,20,11,4
7/26/2013,5,9,14,20,31,1,200,34,11,5
7/29/2013,24,26,29,33,35,4,83,30,10,5
7/31/2013,2,20,23,27,35,4,184,23,12,5
8/2/2013,4,5,16,30,31,2,180,30,10,5
8/5/2013,6,10,12,24,25,2,85,21,8,4
8/7/2013,1,15,28,32,34,2,98,31,12,5
8/9/2013,5,7,22,24,27,1,119,23,10,4
8/12/2013,12,17,22,27,34,2,80,23,9,4
8/14/2013,5,9,19,22,29,2,69,23,9,4
8/16/2013,5,17,26,27,34,3,54,28,9,5
8/19/2013,5,9,13,16,25,3,72,25,8,4
8/21/2013,15,16,22,25,30,5,116,35,10,5
8/23/2013,4,12,13,15,20,4,210,31,9,5
8/26/2013,2,7,9,14,24,3,57,19,7,4
8/28/2013,15,17,26,28,33,2,118,25,11,5
8/30/2013,7,8,13,24,28,1,98,20,10,4
9/2/2013,7,12,13,14,29,4,89,25,9,4
9/4/2013,4,6,20,24,30,5,103,37,10,5
9/6/2013,8,12,15,22,23,1,76,18,9,4
9/9/2013,10,12,20,30,31,3,87,24,9,5
9/11/2013,2,6,14,23,28,1,176,24,11,4
9/13/2013,17,18,23,25,29,1,140,28,9,5
9/16/2013,5,8,10,17,20,2,117,23,8,4
9/18/2013,1,3,7,12,23,4,76,21,8,4
9/20/2013,4,9,10,14,27,4,94,22,8,4
9/23/2013,14,16,24,30,35,3,189,27,10,5
9/25/2013,5,11,16,20,28,3,100,26,10,5
9/27/2013,17,27,30,31,34,4,128,25,12,5
9/30/2013,7,9,18,23,31,4,79,25,8,4
10/2/2013,2,4,5,7,21,4,94,26,9,4
10/4/2013,7,9,15,29,32,3,135,27,9,5
10/7/2013,9,14,15,20,35,1,155,23,12,5
10/9/2013,1,2,23,24,29,5,99,27,11,5
10/11/2013,12,17,21,29,30,2,124,24,10,5
10/14/2013,2,22,24,28,29,1,99,22,12,5
10/16/2013,2,4,14,15,26,1,73,19,11,5
10/18/2013,1,13,19,29,30,4,102,24,10,5
10/21/2013,1,13,16,29,30,3,120,31,11,5
10/23/2013,9,16,22,24,30,4,105,23,10,5
10/25/2013,3,10,11,12,29,4,107,21,9,4
10/28/2013,11,12,20,29,31,4,77,37,9,4
10/30/2013,9,17,24,34,35,5,76,25,9,4
11/1/2013,7,14,16,29,33,2,119,21,10,5
11/4/2013,1,12,14,15,17,3,168,26,9,5
11/6/2013,1,4,10,17,28,5,117,27,10,4
11/8/2013,1,19,23,24,28,1,123,26,10,5
11/11/2013,6,11,12,14,20,3,131,22,9,4
11/13/2013,11,17,21,22,35,1,170,31,10,4
11/15/2013,1,10,15,20,27,5,130,29,9,5
