draw_date,n1,n2,n3,n4,n5,prize_4_1,prize_4_0,prize_3_1,prize_3_0,prize_2_1
3/11/2013,6,9,12,19,25,0,1631,35,16,17
3/14/2013,2,3,13,14,13,325000,3629,35,20,15
3/18/2013,12,14,25,29,30,200000,1531,68,20,20
3/21/2013,4,8,9,23,3,0,1307,48,18,18
3/25/2013,7,10,13,19,33,0,1801,37,17,18
3/28/2013,1,18,23,28,32,0,1304,57,21,23
4/1/2013,1,17,31,33,30,0,1959,44,22,22
4/4/2013,23,31,33,34,14,0,2312,44,22,24
4/8/2013,5,15,27,28,5,825000,1768,49,21,18
4/11/2013,7,12,18,21,10,200000,1773,80,18,17
4/15/2013,3,22,25,34,23,0,1801,70,22,23
4/18/2013,15,28,29,30,21,0,1041,76,23,22
4/22/2013,8,12,17,35,20,0,1483,53,19,18
4/25/2013,2,7,10,24,17,0,929,40,18,17
4/29/2013,10,20,32,33,16,0,3234,68,22,22
5/2/2013,9,16,18,31,11,0,1388,46,21,18
5/6/2013,3,20,21,22,32,0,1811,53,21,23
5/9/2013,7,10,17,31,8,1300000,1403,44,18,19
5/13/2013,7,17,19,32,31,0,1551,63,19,21
5/16/2013,4,19,26,32,19,0,1568,53,21,18
5/20/2013,3,5,11,20,35,0,2134,34,17,18
5/23/2013,12,15,29,34,22,475000,1697,60,21,21
5/27/2013,1,8,11,19,5,0,1015,49,18,19
5/30/2013,2,5,17,21,1,0,4316,48,20,22
6/3/2013,6,18,20,34,28,0,1552,61,21,23
6/6/2013,3,17,31,34,23,0,2439,51,21,21
6/10/2013,5,10,14,34,2,625000,1108,57,19,21
6/13/2013,5,16,22,26,2,0,1376,50,20,22
6/17/2013,7,22,25,34,17,0,4394,40,21,19
6/20/2013,7,9,12,32,23,0,2095,45,19,19
6/24/2013,8,9,19,27,8,0,1312,50,17,19
6/27/2013,8,18,20,25,13,0,1046,64,20,19
7/1/2013,7,12,16,31,15,825000,1895,45,21,21
7/4/2013,15,23,25,26,8,200000,1432,44,20,22
7/8/2013,2,12,14,26,4,0,2073,58,19,20
7/11/2013,21,27,29,32,21,0,2123,54,24,20
7/15/2013,5,6,12,16,6,0,1358,47,19,18
7/18/2013,5,6,14,17,3,0,1679,42,20,18
7/22/2013,8,13,16,33,6,0,1082,57,20,21
7/25/2013,13,20,23,35,7,825000,1347,58,23,18
