draw_date,n1,n2,n3,n4,n5,prize_3,prize_4
11/25/2012,11,13,22,35,39,11.5,230.5
11/26/2012,5,12,22,23,24,9,172
11/27/2012,1,19,28,31,40,13.5,351
11/28/2012,13,21,24,25,33,10.5,220.5
11/29/2012,15,17,21,26,35,12,273
11/30/2012,12,26,29,40,41,14,306.5
12/1/2012,2,9,14,17,18,8.5,169.5
12/2/2012,1,17,20,29,36,12.5,219.5
12/3/2012,5,15,19,20,32,9.5,220
12/4/2012,2,10,20,26,43,11,258.5
12/5/2012,1,6,20,21,27,9.5,209
12/6/2012,4,5,16,20,22,8.5,180
12/7/2012,16,22,26,31,32,13.5,294.5
12/8/2012,21,22,31,33,37,13.5,329
12/9/2012,24,34,38,40,41,15.5,336
12/10/2012,15,17,22,29,36,11.5,252.5
12/11/2012,5,8,12,33,39,9,217.5
12/12/2012,20,25,29,32,42,14.5,308.5
12/13/2012,1,8,24,28,29,9,200.5
12/14/2012,3,13,29,37,43,11.5,253.5
12/15/2012,15,30,31,34,39,14.5,382
12/16/2012,13,16,20,34,41,17,436.5
12/17/2012,4,17,19,28,35,10,271
12/18/2012,5,11,25,26,35,9.5,184
12/19/2012,3,4,17,19,39,9.5,212.5
12/20/2012,19,23,34,41,42,15,388
12/21/2012,28,36,39,41,43,14.5,321.5
12/22/2012,15,17,21,38,40,13,343.5
12/23/2012,3,5,17,19,28,8,147.5
12/24/2012,2,9,25,40,43,14.5,429
12/25/2012,13,24,28,30,37,12,345.5
12/26/2012,15,16,23,36,42,14,338
12/27/2012,8,9,11,12,33,8.5,174
12/28/2012,1,3,31,41,43,13,269.5
12/29/2012,2,4,10,24,40,10,244.5
12/30/2012,9,10,27,32,39,12.5,233.5
12/31/2012,6,17,23,31,37,12,335.5
1/1/2013,1,4,8,18,30,8.5,184
1/2/2013,4,17,22,34,38,12,246.5
1/3/2013,1,22,26,32,38,13,328
1/4/2013,10,11,21,22,36,10,304
1/5/2013,2,16,21,29,39,11.5,261.5
1/6/2013,4,16,27,30,32,12,294.5
1/7/2013,3,7,11,40,42,10.5,261
1/8/2013,5,6,15,18,19,8,202.5
1/9/2013,2,20,28,35,43,13.5,353.5
1/10/2013,15,16,19,21,24,9.5,209
1/11/2013,10,11,15,25,40,10.5,267.5
1/12/2013,1,3,29,40,43,14,409.5
1/13/2013,7,14,20,34,37,12.5,298
1/14/2013,7,33,34,37,39,13,291
1/15/2013,2,18,22,25,26,10,216.5
1/16/2013,11,15,18,33,39,11.5,265.5
1/17/2013,7,13,24,26,27,9.5,226
1/18/2013,3,26,38,39,42,16,462.5
1/19/2013,2,21,31,37,43,15,318.5
1/20/2013,1,17,36,37,40,15,295
1/21/2013,8,10,23,24,31,8,155.5
1/22/2013,14,23,25,42,43,14.5,316
1/23/2013,8,18,21,30,42,12,274.5
1/24/2013,5,10,26,28,35,10,213.5
1/25/2013,1,14,23,30,34,12,297.5
1/26/2013,20,22,27,36,43,15.5,370
1/27/2013,2,12,24,34,40,13,303.5
1/28/2013,8,15,19,23,37,10,218
1/29/2013,11,21,23,35,43,12.5,287
1/30/2013,9,17,26,29,39,10.5,203.5
1/31/2013,9,20,22,35,40,14,465.5
2/1/2013,14,21,22,37,42,13.5,322.5
2/2/2013,4,11,23,28,35,10,219.5
2/3/2013,3,8,10,11,14,7.5,146
2/4/2013,1,2,15,25,43,11.5,322
2/5/2013,5,15,21,28,42,11,257.5
2/6/2013,19,22,28,39,42,12,251
2/7/2013,10,16,27,35,40,15.5,315.5
2/8/2013,6,9,10,17,38,10,309.5
2/9/2013,6,9,11,19,26,7.5,135.5
2/10/2013,5,8,28,30,31,9.5,200.5
2/11/2013,12,20,21,23,35,11,279.5
2/12/2013,2,16,17,19,23,10,216
2/13/2013,2,9,15,16,38,11,307
2/14/2013,9,21,29,30,32,11.5,265.5
2/15/2013,2,3,5,30,38,10,265.5
2/16/2013,3,16,22,28,32,11,297
2/17/2013,8,10,15,22,30,8.5,146
2/18/2013,1,3,5,23,28,6.5,124
2/19/2013,9,13,19,35,39,11,276.5
2/20/2013,4,10,15,24,34,10,204
2/21/2013,11,20,30,35,40,13,246.5
2/22/2013,2,17,23,24,36,11,287
2/23/2013,10,22,23,36,42,14,300.5
2/24/2013,6,12,14,15,26,8.5,199.5
2/25/2013,1,12,14,35,41,15,319.5
2/26/2013,2,14,20,23,40,12,393
2/27/2013,7,8,11,17,19,6.5,139
2/28/2013,11,15,28,34,41,14,544
3/1/2013,7,12,21,26,27,8,174.5
3/2/2013,9,25,31,32,37,13.5,318
3/3/2013,5,9,18,36,39,10.5,177
3/4/2013,9,13,20,29,31,10,207.5
3/5/2013,18,20,26,30,34,13.5,311
3/6/2013,5,16,23,27,33,10,209.5
3/7/2013,19,20,33,35,41,14.5,407
3/8/2013,11,18,23,34,36,12,305
3/9/2013,15,17,38,41,42,15.5,359
3/10/2013,3,6,15,27,29,8.5,206
3/11/2013,5,12,28,32,35,11,247.5
3/12/2013,9,12,13,17,37,9.5,278
3/13/2013,7,9,20,23,24,9,229
3/14/2013,4,9,12,24,37,9,175.5
3/15/2013,8,19,34,36,40,15.5,296.5
3/16/2013,3,11,16,19,39,9.5,223
3/17/2013,13,18,20,29,37,11.5,316
3/18/2013,3,5,20,22,36,9.5,233
3/19/2013,1,8,9,23,27,7.5,147.5
3/20/2013,1,4,6,11,34,9.5,211.5
3/21/2013,4,13,26,29,40,12.5,330
3/22/2013,2,12,19,20,23,7.5,136
3/23/2013,9,14,18,31,32,12,307
3/24/2013,10,12,13,25,35,10.5,251
3/25/2013,3,9,14,37,40,12.5,324.5
3/26/2013,5,11,13,17,26,7,121
3/27/2013,16,17,26,30,34,13.5,316
3/28/2013,7,8,18,23,32,9,216.5
3/29/2013,1,14,20,40,42,14,344.5
3/30/2013,15,26,34,41,43,14,274.5
3/31/2013,8,9,14,30,36,11.5,301.5
4/1/2013,11,13,19,23,37,8.5,214
4/2/2013,4,23,36,39,41,16,420.5
4/3/2013,4,11,18,25,42,10.5,204.5
4/4/2013,19,20,34,36,41,15,305.5
4/5/2013,20,22,27,29,30,11,236
4/6/2013,1,18,19,22,31,10.5,274.5
4/7/2013,2,14,16,37,39,14,373.5
4/8/2013,28,31,32,38,43,14.5,293
4/9/2013,4,12,30,31,33,10.5,224.5
4/10/2013,8,13,29,31,38,11,191
4/11/2013,8,10,13,16,26,9,192.5
4/12/2013,10,21,25,31,43,13,321
4/13/2013,7,9,32,33,38,13,299
4/14/2013,2,8,25,34,35,12.5,261.5
4/15/2013,25,29,38,39,41,15,316
4/16/2013,14,15,19,35,36,14,341.5
4/17/2013,4,5,19,24,42,10,228.5
4/18/2013,5,15,18,20,38,9.5,211
4/19/2013,17,19,21,23,34,10,202
4/20/2013,4,5,9,12,23,6.5,118
4/21/2013,12,16,30,37,39,14,325
4/22/2013,7,28,34,36,43,14.5,243
4/23/2013,13,19,26,39,41,13,292
4/24/2013,21,24,32,35,37,15,368.5
4/25/2013,4,12,13,30,38,11,247
4/26/2013,3,9,21,27,34,10,233.5
4/27/2013,18,25,37,41,43,14,309
4/28/2013,21,25,27,29,30,11,191.5
4/29/2013,5,11,16,31,38,11,247.5
4/30/2013,11,21,24,32,40,14,450.5
5/1/2013,1,6,29,38,40,15,321
5/2/2013,21,24,25,31,41,13,356
5/3/2013,16,20,28,37,39,13,352
5/4/2013,13,28,31,33,43,12,347
5/5/2013,6,24,29,33,41,13.5,311
5/6/2013,2,19,22,28,42,11,272.5
5/7/2013,1,8,20,26,35,11,287.5
5/8/2013,2,7,20,34,42,13.5,295
5/9/2013,3,15,22,28,39,11,294
5/10/2013,1,7,17,28,33,9.5,207.5
5/11/2013,3,4,26,33,42,13.5,403
5/12/2013,16,17,24,28,41,12.5,435.5
5/13/2013,19,28,33,38,40,13,305.5
5/14/2013,10,19,23,27,43,10.5,245
5/15/2013,7,15,20,26,28,9.5,195
5/16/2013,2,7,9,17,22,6.5,103
5/17/2013,10,11,20,34,38,12.5,369.5
5/18/2013,1,17,23,25,34,11.5,230
5/19/2013,9,13,15,16,40,12.5,373
